Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,NSLP Provision 2 or 3 School ,Charter School Number,Charter Funding Type,Low Grade,High Grade,Enrollment (K-12),Unadjusted Free Meal Count (K-12),Adjusted Free Meal Count (K-12),Adjusted Percent (%) Eligible Free (K-12),Unadjusted FRPM Count (K-12),Adjusted FRPM Count (K-12),Adjusted Percent (%) Eligible FRPM (K-12),Enrollment (Ages 5-17),Unadjusted Free Meal Count (Ages 5-17),Adjusted Free Meal Count (Ages 5-17),Adjusted Percent (%) Eligible Free (Ages 5-17),Unadjusted FRPM Count (Ages 5-17),Adjusted FRPM Count (Ages 5-17),Adjusted Percent (%) Eligible FRPM (Ages 5-17),2013-14 CALPADS Fall 1 Certification Status
2013-14,1,10017,109835,Alameda,Alameda County Office of Education,FAME Public Charter,N,728,Directly funded,K,12,1332,529,547,41.1%,652,669,50.2%,1319,523,541,41.0%,645,662,50.2%,Y
2013-14,1,10017,112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,N,811,Directly funded,9,12,343,227,233,67.9%,260,265,77.3%,335,221,227,67.8%,254,259,77.3%,Y
2013-14,1,10017,118489,Alameda,Alameda County Office of Education,Aspire California College Preparatory Academy,N,1049,Directly funded,9,12,230,114,114,49.6%,152,152,66.1%,210,106,106,50.5%,139,139,66.2%,Y
2013-14,1,10017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,N,1284,Directly funded,K,8,172,104,106,61.6%,125,125,72.7%,164,102,104,63.4%,121,121,73.8%,Y
2013-14,1,10017,124172,Alameda,Alameda County Office of Education,Yu Ming Charter,N,1296,Directly funded,K,8,211,20,20,9.5%,23,23,10.9%,211,20,20,9.5%,23,23,10.9%,Y
2013-14,1,10017,125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,N,1383,Directly funded,K,8,214,69,70,32.7%,83,84,39.3%,214,69,70,32.7%,83,84,39.3%,Y
2013-14,1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,N,,,K,12,200,43,54,27.0%,43,54,27.0%,185,41,52,28.1%,41,52,28.1%,Y
2013-14,1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,N,,,K,12,278,203,203,73.0%,215,215,77.3%,230,166,166,72.2%,176,176,76.5%,Y
2013-14,1,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,N,740,Directly funded,K,5,558,485,487,87.3%,549,550,98.6%,538,470,472,87.7%,529,530,98.5%,Y
2013-14,1,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,Y,1464,Directly funded,K,8,401,317,318,79.3%,399,399,99.5%,401,317,318,79.3%,399,399,99.5%,Y
2013-14,1,31609,131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,N,,,1,Adult,72,71,71,98.6%,71,71,98.6%,34,33,33,97.1%,33,33,97.1%,Y
2013-14,1,31617,131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,Y,,,P,12,404,403,403,99.8%,403,403,99.8%,324,323,323,99.7%,323,323,99.7%,Y
2013-14,1,61119,1,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",N,,,,,29,1,1,3.4%,1,1,3.4%,26,1,1,3.8%,1,1,3.8%,Y
2013-14,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,N,,,9,12,170,33,33,19.4%,40,40,23.5%,168,31,31,18.5%,38,38,22.6%,Y
2013-14,1,61119,111765,Alameda,Alameda Unified,Ruby Bridges Elementary,N,,,K,5,579,345,345,59.6%,406,406,70.1%,579,345,345,59.6%,406,406,70.1%,Y
